Evidence_code,VEP_annotation,Values_to_match,Evidence_category,Evidence_strength,Description,Quick_description,Data_type,Data_source,Data_source_details,Simple_logic?
PVS1,Consequence/Impact,HIGH,Pathogenic,Very Strong,"Null variant (nonsense, frameshift, canonical ±1 or 2 splice sites, initiation codon, single or multiexon deletion) in a gene where LOF is a known mechanism of disease",Null allele in LOF disease,Variant annotation,VEP/GEMINI,base VEP,Yes
PS1,Existing_variation/Consequence,missense_variant and pathogenic variant in clinvar with same amino acid change,Pathogenic,Strong,Same amino acid change as a previously established pathogenic variant regardless of nucleotide change,Same aa change as known pathogenic,Variant annotation,VEP/GEMINI,SameCodon VEP plugin?,Yes
PS2,GT,"0/1 in proband, 0/0 in both parents",Pathogenic,Strong,De novo (both maternity and paternity confirmed) in a patient with the disease and no family history,De novo confirmed,Variant annotation,VEP/GEMINI,GEMINI/slivar,Yes
PS3,"none, likely needs to be manual",-,Pathogenic,Strong,Well-established in vitro or in vivo functional studies supportive of a damaging effect on the gene or gene product,Functional studies show damaging effect,,,,No
PS4,GT,"0/1 or 1/1 in affecteds, 0/0 or 0/1 in unaffecteds",Pathogenic,Strong,The prevalence of the variant in affected individuals is significantly increased compared with the prevalence in controls.,Greater in cases than controls,Variant annotation,"VEP for families, others for large scale case/control",GEMINI/slivar,Yes/No
PM1,DOMAINS,Pfam_domain:PF___ (matched to Pfam domains that are functional),Pathogenic,Moderate,"Located in a mutational hot spot and/or critical and well-established functional domain (e.g., active site of an enzyme) without benign variation",Functional domain or hot spot,Variant annotation,VEP/GEMINI,base VEP domains?,Yes
PM2,gnomAD_AF,< 0.01 (or user specified threshold),Pathogenic,Moderate,"Absent from controls (or at extremely low frequency if recessive) in Exome Sequencing Project, 1000 Genomes Project, or Exome Aggregation Consortium",Very low allele frequency,Variant annotation,VEP/GEMINI,base VEP,Yes
PM3,GT?,1/1?,Pathogenic,Moderate,"For recessive disorders, detected in trans with a pathogenic variant",In trans for recessive,Variant annotation,,,No
PM4,Consequence,"inframe_insertion or inframe_deletion, checking surrounding positions for repeat regions",Pathogenic,Moderate,Protein length changes as a result of in-frame deletions/insertions in a non-repeat region or stop-loss variants,Inframe ins/del changes protein length,Variant annotation,VEP/GEMINI,,Yes
PM5,Existing_variation/Consequence,rsID is same amino acid change as clinvar pathogenic,Pathogenic,Moderate,Novel missense change at an amino acid residue where a different missense change determined to be pathogenic has been seen before,Novel missense where different missense at same aa is pathogenic,Variant annotation,,,No
PM6,GT/gnomAD_AF,0/1 and not present in gnomAD?,Pathogenic,Moderate,"Assumed de novo, but without confirmation of paternity and maternity",De novo not confirmed,Variant annotation,VEP/GEMINI,base VEP,Yes
